Branch,Subfield,Author,Work
Metaphysics,Ontology,Immanuel Kant,Critique of Pure Reason
Metaphysics,Ontology,J.G. Fichte,Foundations of the Science of Knowledge
Metaphysics,Ontology,F.W.J. Schelling,System of Transcendental Idealism
Metaphysics,Ontology,John Locke,An Essay Concerning Human Understanding
Metaphysics,Ontology,David Hume,A Treatise of Human Nature
Metaphysics,Ontology,Heraclitus,Fragments
Metaphysics,Idealism,George Berkeley,A Treatise Concerning the Principles of Human Knowledge
Metaphysics,Ontology,Immanuel Kant,Prolegomena to Any Future Metaphysics
Metaphysics,Post-Structuralism,Gilles Deleuze,Difference and Repetition
Metaphysics,Ontology,Baruch Spinoza,Ethics
Metaphysics,Theology,Augustine of Hippo,Confessions
Metaphysics,Theology,Augustine of Hippo,City of God
Metaphysics,Theology,Thomas Aquinas,Summa Theologica
Metaphysics,Ontology,Anselm of Canterbury,Proslogion
Metaphysics,,Friedrich Nietzsche,The Gay Science
Metaphysics,Post-Structuralism,Gilles Deleuze & Félix Guattari,A Thousand Plateaus
Metaphysics,Ontology,Martin Heidegger,Introduction to Metaphysics
Metaphysics,,Aristotle,Physics
Metaphysics,Ontology,Parmenides,On Nature
Metaphysics,Post-Structuralism,Michel Foucault,The Order of Things
Metaphysics,Existentialism,Franz Kafka,The Metamorphosis
Metaphysics,Ontology,René Descartes,Meditations on First Philosophy
Metaphysics,Ontology,Martin Heidegger,Being and Time
Metaphysics,Ontology,Edmund Husserl,Logical Investigations
Metaphysics,Ontology,Plato,Parmenides
Metaphysics,Ontology,Gottfried Wilhelm Leibniz,Monadology
Philosophy of Mind,,Gottfried Wilhelm Leibniz,Discourse on Metaphysics
Metaphysics,Ontology,Aristotle,Metaphysics
Metaphysics,Existentialism,Albert Camus,The Myth of Sisyphus
Metaphysics,Existentialism,Albert Camus,The Stranger
Metaphysics,Existentialism,Jean-Paul Sartre,Nausea
Metaphysics,Cosmology,Friedrich Nietzsche,Thus Spoke Zarathustra
Metaphysics,Cosmology,Philipp Mainländer,Philosophy of Redemption
Metaphysics,Cosmology,Arthur Schopenhauer,The World as Will and Representation
Metaphysics,Cosmology,Plato,Timaeus
Metaphysics,Deconstruction,Jacques Derrida,Speech and Phenomena
Metaphysics,Cosmology,Lucretius,On the Nature of Things
Epistemology,Post-Structuralism,Jacques Derrida,Of Grammatology
Epistemology,,Immanuel Kant,Critique of Pure Reason
Epistemology,,John Locke,An Essay Concerning Human Understanding
Epistemology,,David Hume,An Enquiry Concerning Human Understanding
Epistemology,,Heraclitus,Fragments
Epistemology,Ontology,J.G. Fichte,The Vocation of Man
Epistemology,,Michel Foucault,Power/Knowledge
Epistemology,Empiricism,George Berkeley,A Treatise Concerning the Principles of Human Knowledge
Epistemology,,Michel Foucault,The Order of Things: An Archaeology of the Human Sciences
Epistemology,,Michel Foucault,The Archaeology of Knowledge
Epistemology,,Edmund Gettier,Is Justified True Belief Knowledge?
Epistemology,,Karl Popper,The Logic of Scientific Discovery
Epistemology,,Plato,Theaetetus
Epistemology,,Ludwig Wittgenstein,On Certainty
Epistemology,,Aristotle,Posterior Analytics
Epistemology,,Søren Kierkegaard,Concluding Unscientific Postscript
Ethics,,Immanuel Kant,Groundwork of the Metaphysics of Morals
Ethics,Deontology,Immanuel Kant,Critique of Practical Reason
Ethics,,Friedrich Nietzsche,Beyond Good and Evil
Ethics,Analytic Philosophy,G.E. Moore,Principia Ethica
Ethics,,Plato,Symposium
Ethics,,Plato,Phaedrus
Ethics,,Marcus Aurelius,Meditations
Ethics,,David Hume,A Treatise of Human Nature
Ethics,,Friedrich Nietzsche,On the Genealogy of Morality
Ethics,,Baruch Spinoza,Ethics
Ethics,Political Philosophy,J.G. Fichte,Foundations of Natural Right
Ethics,,Søren Kierkegaard,Either/Or
Ethics,Existentialism,Franz Kafka,The Trial
Ethics,Existentialism,Fyodor Dostoevsky,The Brothers Karamazov
Ethics,Existentialism,Albert Camus,The Rebel
Ethics,Existentialism,Jean-Paul Sartre,Existentialism is a Humanism
Ethics,Post-Structuralism,Gilles Deleuze,Anti-Oedipus
Ethics,,Georg Wilhelm Friedrich Hegel,Elements of the Philosophy of Right
Ethics,Existentialism,Jean-Paul Sartre,Existentialism is a Humanism
Ethics,,Philipp Mainländer,Philosophy of Redemption
Ethics,,John Stuart Mill,Utilitarianism
Ethics,,Aristotle,Nicomachean Ethics
Ethics,,Søren Kierkegaard,Fear and Trembling
Ethics,,Alasdair MacIntyre,After Virtue
Ethics,,Plato,Republic
Ethics,,Michel Foucault,Discipline and Punish: The Birth of the Prison
Ethics,,Michel Foucault,The History of Sexuality
Ethics,,Epicurus,Letter to Menoeceus
Ethics,,Seneca,Letters from a Stoic
Logic,,Immanuel Kant,Critique of Pure Reason
Logic,,John Locke,An Essay Concerning Human Understanding
Logic,,David Hume,An Enquiry Concerning Human Understanding
Logic,,Bertrand Russell,Principia Mathematica
Logic,,Georg Wilhelm Friedrich Hegel,Science of Logic
Logic,,Ludwig Wittgenstein,Tractatus Logico-Philosophicus
Logic,,Gottlob Frege,Begriffsschrift
Logic,,Kurt Gödel,On Formally Undecidable Propositions
Logic,,Alfred North Whitehead,Process and Reality
Logic,,Aristotle,Organon
Logic,,Chrysippus,Fragments on Logic
Aesthetics,,Immanuel Kant,Critique of Judgment
Aesthetics,,Georg Wilhelm Friedrich Hegel,Lectures on Aesthetics
Aesthetics,,Aristotle,Poetics
Aesthetics,,John Locke,An Essay Concerning Human Understanding
Aesthetics,,David Hume,Of the Standard of Taste
Aesthetics,,Friedrich Schiller,Letters on the Aesthetic Education of Man
Aesthetics,,Arthur Schopenhauer,The World as Will and Representation
Aesthetics,,Theodor Adorno,Aesthetic Theory
Aesthetics,,Plotinus,Enneads
Aesthetics,,Søren Kierkegaard,Either/Or
Aesthetics,,Clive Bell,Art
Philosophy of Mind,Philosophy of Language,Immanuel Kant,Critique of Pure Reason
Philosophy of Mind,Philosophy of Language,John Locke,An Essay Concerning Human Understanding
Philosophy of Mind,Philosophy of Language,David Hume,Treatise of Human Nature
Philosophy of Mind,Philosophy of Language,Ludwig Wittgenstein,Philosophical Investigations
Philosophy of Mind,Philosophy of Language,Gottlob Frege,On Sense and Reference
Philosophy of Mind,Philosophy of Language,John Searle,Speech Acts
Philosophy of Mind,Philosophy of Language,Noam Chomsky,Syntactic Structures
Philosophy of Mind,Phenomenology,Georg Wilhelm Friedrich Hegel,Phenomenology of Spirit
Philosophy of Mind,Phenomenology,Edmund Husserl,Ideas
Philosophy of Mind,Post-Structuralism,Jacques Derrida,Writing and Difference
Philosophy of Mind,Phenomenology,Søren Kierkegaard,The Concept of Anxiety
Philosophy of Mind,Phenomenology,Søren Kierkegaard,Sickness Unto Death
Philosophy of Mind,Phenomenology,Edmund Husserl,Cartesian Meditations
Philosophy of Mind,Phenomenology,Edmund Husserl,On the Phenomenology of the Consciousness of Internal Time
Philosophy of Mind,Phenomenology,Michel Foucault,Madness and Civilization
Philosophy of Mind,Philosophy of Language,Ludwig Wittgenstein,Tractatus Logico-Philosophicus
Philosophy of Mind,Phenomenology,Maurice Merleau-Ponty,Phenomenology of Perception
Philosophy of Mind,Phenomenology,Martin Heidegger,Being and Time
Philosophy of Mind,Phenomenology,Jean-Paul Sartre,Being and Nothingness
Philosophy of Science,,Friedrich Nietzsche,The Birth of Tragedy
Philosophy of Science,,Bertrand Russell,The Problems of Philosophy
Philosophy of Science,,Georg Wilhelm Friedrich Hegel,Encyclopedia of the Philosophical Sciences
Philosophy of Science,,Parmenides,On Nature
